"","Provinsi","Kabupaten","MEAN","SD","2.5%","97.5%","RSE"
"1","Nusa Tenggara Barat","Lombok Barat",0.594341477143653,0.0788022905095113,0.444600506563429,0.74161374251866,13.2587567147808
"2","Nusa Tenggara Barat","Lombok Tengah",0.715166191473886,0.0684137136637523,0.56061193393158,0.828654246270897,9.56612805238436
"3","Nusa Tenggara Barat","Lombok Timur",0.666477452464543,0.0747869920800635,0.511836689500076,0.791844775656626,11.2212336371638
"4","Nusa Tenggara Barat","Sumbawa",0.512545724648478,0.0819449724326989,0.36185495448586,0.668916847851354,15.98783649769
"5","Nusa Tenggara Barat","Dompu",0.665313783086963,0.0754101104575147,0.505276640455926,0.80048046355488,11.3345179935432
"6","Nusa Tenggara Barat","Bima",0.461301306633101,0.0794567176627483,0.31270232787405,0.611611738902418,17.2244727080179
"7","Nusa Tenggara Barat","Sumbawa Barat",0.575687147969798,0.0802113617709708,0.413673078764135,0.729422424084547,13.9331513746385
"8","Nusa Tenggara Barat","Lombok Utara",0.567619541690838,0.0806687434843854,0.416108899009564,0.723750759575621,14.2117629079661
"9","Nusa Tenggara Barat","Kota Mataram",0.754307682134044,0.0585749963572361,0.636035835295302,0.856341359024002,7.76539835727499
"10","Nusa Tenggara Barat","Kota Bima",0.742021150430887,0.0639714529389978,0.599355356286528,0.84835726395173,8.6212438691067
"11","Nusa Tenggara Timur","Sumba Barat",0.574658207644007,0.0779008400467968,0.420752513931734,0.728830126100977,13.5560301776905
"12","Nusa Tenggara Timur","Sumba Timur",0.609542051111684,0.078553899286022,0.449767536227045,0.76885982798953,12.8873634136899
"13","Nusa Tenggara Timur","Kupang",0.688648454869392,0.0703035459560678,0.540475579080886,0.811496788455338,10.2089165319338
"14","Nusa Tenggara Timur","Timor Tengah Selatan",0.611872831702142,0.0755839837284911,0.472169506963171,0.751405813055751,12.3528909623634
"15","Nusa Tenggara Timur","Timor Tengah Utara",0.680808888307928,0.0700381206213414,0.531098759411396,0.803057306882162,10.2874862276568
"16","Nusa Tenggara Timur","Belu",0.593891414055583,0.0778907286358543,0.440465975964216,0.741399766257444,13.115314818908
"17","Nusa Tenggara Timur","Alor",0.438789321501443,0.0797374933174026,0.287976456712233,0.594112015600599,18.1721590317098
"18","Nusa Tenggara Timur","Lembata",0.603644060970513,0.0808246895723029,0.435644350089775,0.744165782465606,13.3894615715023
"19","Nusa Tenggara Timur","Flores Timur",0.594474684826568,0.0775888057837637,0.445123595275443,0.744418042929132,13.0516585086208
"20","Nusa Tenggara Timur","Sikka",0.637275826880902,0.0741172666571993,0.489042855069206,0.767243253374376,11.630327643206
"21","Nusa Tenggara Timur","Ende",0.665133843257919,0.0764439682145858,0.501963874250811,0.793195836486396,11.4930203882203
"22","Nusa Tenggara Timur","Ngada",0.599874380609806,0.0788058665908067,0.43725536337275,0.743624405781596,13.1370615479021
"23","Nusa Tenggara Timur","Manggarai",0.665420054587359,0.0721040577809996,0.511585959110734,0.790825505574287,10.8358708584028
"24","Nusa Tenggara Timur","Rote Ndao",0.418803219641442,0.0781358828798444,0.268490110807519,0.576773217739046,18.6569441721915
"25","Nusa Tenggara Timur","Manggarai Barat",0.583357674116172,0.0767503996725647,0.427062866797849,0.726290711723552,13.1566623836477
"26","Nusa Tenggara Timur","Sumba Tengah",0.389077331554233,0.0748934183363814,0.250397115496061,0.540401884275435,19.2489801544612
"27","Nusa Tenggara Timur","Sumba Barat Daya",0.605072445468776,0.078728089446196,0.446414616226591,0.745311568878807,13.0113493079662
"28","Nusa Tenggara Timur","Nagekeo",0.620802918424043,0.0775163633312493,0.466139357643907,0.76706404505908,12.4864688987015
"29","Nusa Tenggara Timur","Manggarai Timur",0.601110093695832,0.0784254379124408,0.437180978210761,0.737745742407714,13.0467677610027
"30","Nusa Tenggara Timur","Sabu Raijua",0.659185645649677,0.0756880543528006,0.495411456347651,0.787775246307956,11.4820543882148
"31","Nusa Tenggara Timur","Malaka",0.676833397521148,0.0693024940782135,0.525654603446595,0.8025563919909,10.2392249454635
"32","Nusa Tenggara Timur","Kota Kupang",0.65703341988682,0.0719278989787,0.512221943134673,0.791337388782261,10.9473729648471
