"","MEAN","SD","2.5%","97.5%","RSE"
"mu[1]",0.59285813692495,0.084474969818878,0.41541348664082,0.748327141252252,14.2487661984425
"mu[2]",0.706360952978222,0.0763048444423814,0.534683882264978,0.83870668597811,10.802528667625
"mu[3]",0.663478915978591,0.0793011509397885,0.498292943635918,0.802846355654566,11.9523241854376
"mu[4]",0.527046308240416,0.0923605326112466,0.33881306510525,0.704277339457298,17.5241778885805
"mu[5]",0.656520663616932,0.0810462780978644,0.484757353985288,0.799173962109101,12.3448175494372
"mu[6]",0.483412181425171,0.0892499901917137,0.313966528600999,0.661562789983669,18.4625033503689
"mu[7]",0.568971075363999,0.0886130673128152,0.392355623920861,0.728315398212621,15.57426574912
"mu[8]",0.587732754012449,0.0909439423251982,0.400081970390835,0.749961588555492,15.4736896496451
"mu[9]",0.742884486430177,0.0687389192879526,0.590470051425982,0.85470510605073,9.25297546840255
"mu[10]",0.73356115187198,0.0705669014459133,0.580669490379346,0.850645325563609,9.61977079427299
"mu[11]",0.576670822518356,0.0871689123311753,0.395738683769067,0.729754458824071,15.1158874226554
"mu[12]",0.634518394686296,0.0840559092744816,0.463709326993617,0.786020099799256,13.2471981865929
"mu[13]",0.664377556700289,0.08229964052546,0.481217412493179,0.812111219166598,12.3874805365508
"mu[14]",0.637817035390358,0.0809794413524241,0.473582419096,0.783161386677076,12.6963434432043
"mu[15]",0.67150967789596,0.0809724274701883,0.498827563487556,0.812543481631425,12.0582666394175
"mu[16]",0.590215138676159,0.0870774300093851,0.405185953889251,0.750321763447533,14.7535066966764
"mu[17]",0.434247628834719,0.0878864896707182,0.269257997617113,0.611732259723211,20.2387955247003
"mu[18]",0.590021515862696,0.0910383022740905,0.408084620091267,0.757675108565681,15.4296580423816
"mu[19]",0.606229589409198,0.0864515558324186,0.434973022250275,0.765227628218839,14.2605305552093
"mu[20]",0.62937570591202,0.0838209435874855,0.452499846684419,0.780113577966736,13.3181091675634
"mu[21]",0.64575514222367,0.0849115666159119,0.466630604312541,0.793842959831247,13.1491893852393
"mu[22]",0.595493788737367,0.0876927801250842,0.421316019122154,0.760651590210391,14.7260612593492
"mu[23]",0.666280144884497,0.0777580988975322,0.508280017058433,0.801778498036795,11.670481177405
"mu[24]",0.42407389172622,0.0898294908296704,0.262280440958001,0.607117735207847,21.1825091292496
"mu[25]",0.591948263485952,0.0893245793109996,0.41010396556575,0.757909062727389,15.089930120746
"mu[26]",0.416232941530651,0.0856205280334774,0.265045312466974,0.599102783219167,20.570339223661
"mu[27]",0.612506828293951,0.0844010107235622,0.443420836590659,0.770558046321216,13.7796032345711
"mu[28]",0.608178601542014,0.0901338057259652,0.426353793390824,0.768771177556045,14.8202856031821
"mu[29]",0.609326994636413,0.0848736628607383,0.435330184691264,0.757209838948367,13.9290830059782
"mu[30]",0.652921433589025,0.0814267179155678,0.489832940805655,0.801175392686523,12.4711356874863
"mu[31]",0.678999341336841,0.077926576881039,0.513983148613203,0.820122479602894,11.4766793039319
"mu[32]",0.630371801358895,0.087498082288938,0.450296031340809,0.78347119777021,13.880392825364
